x,y,z,Index,10.0954277,9.96587204,10.33529979,
2443.144320000001,594.25796,5064.49526,2181,21579.72296,3762.510945,55571.62498,59733.12678
2427.9981200000007,598.68926,5078.44936,2182,21485.76684,3937.86445,55592.00102,59729.51976
2439.0337200000004,570.48226,5057.45726,2183,21443.52555,3865.33682,55531.49715,59653.27143
2424.16392,577.19746,5085.62366,2184,21603.12618,3671.627175,55678.12818,59835.02206
2447.24352,565.25506,5055.64536,2185,21559.97429,3588.090246,55568.61017,59712.45531
2437.2589200000007,578.9887600000001,5073.61156,2186,21600.95769,3608.095737,55550.16786,59711.31281
2439.1753200000003,583.00856,5068.0365600000005,2187,21581.37659,3609.10229,55608.40314,59758.48003
2432.9971200000005,592.34496,5069.94646,2188,21620.69223,3648.453533,55512.09262,59685.49215
2447.18112,590.0394600000001,5059.78496,2189,21724.68321,3668.706178,55533.92904,59744.77835
2427.8203200000007,578.89196,5063.98376,2190,21443.5518,3690.058059,55480.01908,59594.25274
2452.343520000001,578.64846,5057.82606,2191,21486.66735,3711.696957,55569.06906,59694.01146
2442.9817200000007,578.61126,5051.98026,2192,21523.59844,3759.533142,55355.64822,59511.73976
2460.7033200000005,567.32946,5061.59776,2193,21558.76687,3731.529042,55551.22206,59704.6314
2431.09992,588.34006,5076.46696,2194,21426.5309,3651.779144,55654.90269,59748.63941
2449.5189200000004,570.58816,5068.04976,2195,21246.07312,3763.024187,55477.32674,59525.53869
2456.33252,569.21936,5049.25926,2196,21319.78589,3670.663475,55506.64592,59573.44024
2445.12492,576.59886,5055.77086,2197,21403.79398,3557.562786,55526.08352,59614.80186
2441.1341200000006,582.92246,5063.34746,2198,21505.39639,3689.414263,55461.66566,59599.4145
2458.7423200000003,574.65676,5068.28216,2199,21425.17408,3650.739704,55586.49851,59684.37653
2448.9863200000004,589.83416,5047.53186,2200,21167.41156,3962.714352,55752.28189,59766.87505
2454.3845200000005,587.9384600000001,5059.88956,2201,21582.03078,3733.343827,55678.65528,59831.7187
2402.38772,606.13506,5083.74666,2202,21445.69808,3825.754369,55628.60142,59741.90873
2429.1791200000002,598.80266,5086.03256,2203,21382.53705,3784.142867,55568.16265,59660.3162
2415.4545200000002,592.38396,5065.83806,2204,21508.92575,3650.871253,55627.17412,59752.36604
2415.7657200000003,588.48666,5079.96096,2205,21525.61349,3781.700232,55463.4485,59614.15446
2419.6597200000006,602.78196,5073.62786,2206,21463.60132,3606.916775,55420.55184,59541.02448
2397.94012,607.96536,5067.62616,2207,21598.34297,3554.534158,55402.8175,59570.08745
